,,Jadwal Gasal Teknik Informatika 2025/2026,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,407,406,306,304,203,Lab TIA,LAB CC,Lab Mul-Net,Lab Lantai 4,,,,,,,,,,,,,,,
SENIN,07:00 - 07:50,Basis Data I C (IF 3) - Senin / 07:00 - 09:30 / 407 / Meidya,Proyek Sains Data A (IF 5) - Senin / 07:00 - 09:30 / 406 / Mul,Matematika A (IF 1) - Senin / 07:00 - 09:30 / 306 / Bain,Basis Data I D (IF 3) -  Senin / 07:00 - 09:30  / 304 / Sari,Proyek Perangkat Lunak A (IF 5) - Senin / 07:00 - 09:30 / 203 / Fifin,Algoritma & Dasar Pemrograman A (IF 1) - Senin / 07:00 - 09:30 / Lab TIA / Sigit,Pengantar Teknologi Informasi D (IF 1) - Senin / 07:00 - 08:40 / Lab CC / Iwan,Pengembangan Aplikasi Web C (IF 3) - Senin / 07:00 - 09:30 / Lab CC / Devie,,,,,,,,,,,,,,,,
,07.50 - 08.40,,,,,,,,,,,,,,,,,,,,,,,,
,08.40 - 09.30,,,,,,,Pengantar Teknologi Informasi E (IF 1) - Senin / 08:40 - 10:20 / Lab CC / Iwan,,Bahasa Indo A (IF 1) - Senin / 08.40-10.20 / Lab LT4 / Naelur,,,,,,,,,,,,,,,
,09.30 - 10.20,Pemrograman Berorientasi Obyek A (IF 7) - Senin / 09:30 - 12:00 / 407 / Hermawan,Proyek Sains Data B (IF 5) - Senin / 09:30 - 12:00 / 406 / Mul,Matematika B (IF 1) - Senin / 09:30 - 12:00 / 306 / Bain,Basis Data I E (IF 3) - Senin / 09:30 - 12:00 / 304 / Sari,Jaringan Komputer 1 A (IF 3) - Senin / 09:30 - 12:00 / 203 / Suzan,Algoritma & Dasar Pemrograman B (IF 1) - Senin / 09:30 - 12:00 / Lab TIA / Sigit,,Algoritma & Dasar Pemrograman C (IF 1) - Senin / 09:30 - 12:00 / Lab Mul-Net / Husni,,,,,,,,,,,,,,,,
,10.20 - 11.10,,,,,,,Technopreneurship A (IF 7) - Senin / 10:20 - 12:00 / Lab CC / Jauhari,,Bahasa Indo B (IF 1) - Senin / 10.20 - 12.00 / Lab LT4 / Naelur ,,,,,,,,,,,,,,,
,11.10 - 12.00,,,,,,,,,,,,,,,,,,,,,,,,
,12.00 - 13.00,I S T I R A H A T,,,,,,,,,,,,,,,,,,,,,,,
,13.00 - 13.50,Pemrograman Berorientasi Obyek B (IF 7) - Senin / 13.00 - 15.30 / 407 / Hermawan,Matematika C (IF 1) - Senin / 13.00 - 15.30 / 406 / Bas,Sistem Terdistribusi A (IF 5) - Senin / 13.00 - 15.30 / 306 / Yoga,Proyek Perangkat Lunak B (IF 5) - Senin / 13.00 - 15.30 / 304 / Fifin,Jaringan Komputer 1 B (IF 3) - Senin / 13.00 - 15.30 / 203 / Suzan,Pengembangan Aplikasi Web A (IF 3) - Senin / 13.00 - 15.30 / Lab TIA / Ocal,Jaringan Komputer 1 C (IF 3) - Senin / 13.00 - 15.30 / Lab CC / Dwi,Sistem Terdistribusi C (IF 5) -  Senin / 13.00 - 15.30 / Lab Mul-Net / Husni ,Bahasa Indo C (IF 1) - Senin / 12.30 - 14.10 / Lab LT4 / Naelur ,,,,,,,,,,,,,,,
,13.50 - 14.40,,,,,,,,,,,,,,,,,,,,,,,,
,14.40 - 15.30,,,,,,,,,,Lab SIster,,,,,,,,,,,,,,
,15.30 - 16.20,,,,,Rekayasa Multimedia C - Senin / 15.30 - 18.00 / 203 / Faris,,,,,Keamanan SIber A (IF 7) - Senin / 09:30 - 12:00 / Lab Sister / Dwi,,,,,,,,,,,,,,
,16.20 - 17.10,,,,,,,,,,,,,,,,,,,,,,,,
,17.10 - 18.00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,407,406,306,304,203,Lab TIA,LAB CC,Lab Mul-Net,Lab Lantai 4,,,,,,,,,,,,,,,
SELASA,07:00 - 07:50,Basis Data I A (IF 3) - Selasa / 07:00 - 09:30 / 407 / Yoga,Jaringan Komputer 1 E (IF 3) - Selasa / 07:00 - 09:30 / 406 / Iwan,Pengolahan Citra A (IF 7) - Selasa / 07:00 - 09:30 / 306 / Cucun,Komputasi Numerik A (IF 7) - Selasa / 07:00 - 09:30 / 304 / Bain,Etika Profesional B (IF 7) - Selasa / 07:50 - 09:30 / 203 / Fika,,Pengantar Teknologi Informasi F (IF 1) - Selasa / 07:00 - 08:40 / Lab CC / Jauhari,Pembelajaran Mesin A (IF 5) - Selasa / 07:00 - 09:30 / Lab Mul-Net / Indah,Pancasila D (IF 1) - Selasa / 07.00-08.40 / Lab LT4 / Taufiq,,,,,,,,,,,,,,,
